content,score,tone
aplikasi guna fungsi normal udah minggu download ga masuk alas koneksi gagal dah pake wifi sinyal lancar paket data full kecewa,1,-1
masuk susah print kk jg nggak udah uninstall install ulang eh nggak masuk koneksi stabil waaah udah jam malam loh jaring bagus pagi malam coba nggak hasil aja nggak buka,1,-1
buka pake wifi kalo pake paket data pribadi gak alias muat tolong admin baik ya aplikasi nyari wifi buka gak efektif gak efisien gak praktis,1,-1
ui nya sederhana registrasi tingkat mudah foto ulang foto ulang isi biodata capek kuyy isi app akan copas pdf versi cetak urus tanda tangan digital uri langsung aplikasi moga app manfaat depan baik,3,-1
login kali kali yg muncul jaring stabil jaring yg stabil apk ap in butuh buka jaring wifi tolong sesuai dukcapil,1,-1
cari data kk aja susah ya apps udah reinstal kali kali tetep gak muncul data dokumen loading tolong sistem baik aja gak kepake appsnya layan jelek gin,1,-1
mudah milik e ktp data rekam didukcapil ga repot verifikasi via barcode digital nanggung mending fisik terbit asa bodoh,2,-1
efisien efektif flexibel coba masuk login masuk email nik password kayak efisien kalo ganti hp ga ribet hrs capil lurah kalo skrg ganti perangkat lupa pin udh ga masuk,1,-1
ga bahaya rentan bobol hp hilang data salah ribet dukcapil camat scan barcode efisien buat sistem langsung akses ktp daftar ulang,1,-1
aplikasi guna foto sinkron fitur bagi ktp kk pakai qr code file pdf jpg screenshot pin angka aman tampil ui sederhana,1,-1
download uninstall hapus download gak buka loading terusss selaluuuuu aplikasi buat perintah tuh jelek bangettt dana gak kann gak hire sdm or beli apk bagus gitu bayangin tinggal desa gak sih gaptek hapenya gak ngotak atik or nyoba aplikasi wa hmmmmmmm,1,-1
digital dukcapil verifikasi barcode tugas konsep mudah ga ribetnya mana kalo mending cetak fisik ga sih digital mudah tingkat efisiensi segi akses masyarakat,1,-1
tolong perhati aplikasi mudah masyarakat aplikasi pakai aplikasi buka jaring data yg bilang wifi guna kalo ya repot daftar kantor kalo ujung nya gabisa dipake tambah fitur offline daftar butuh dadak tinggal scan jaring data,1,-1
buka udah error jaring pake jaring mumpuni gua gak sistem aman aplikasi nya tiga daftar aja dukcapil verifikasi ktp min hadeh empat ui ux nya hadeh tolong upgrade dah aja nunggu aplikasi buka tambahin komen nya,1,-1
konsep aplikasi bagus tingkat mudah akses konektivitas hubung server mampu simpan data akses offline keluh jaring kendala akses aplikasi saat kuota internet tingkat ui nya,4,1
scan barcode dukcapil ini aplikasi mudah warga yg luar kota ktp digital klo luar kota mudah sulit tolong baik dukcapil terimakasih,1,-1
ui nya baik y admin biar desain enak terimakasih semangat buat koding ui ux jgn lupa aman data ya server nya aman cepat akses semnagat,1,-1
gak masuk salah jaring yg nulis mesti pake wifi non data selular masak mesti beli wifi wifi publik aman data scan fisik doank yg gak aplikasi aplikasi buat perintah rating rendah proyek aja manfaat,1,-1
aplikasi buka install loading melulu info notifikasi salah coba ulang kali hasil aplikasi info kedukcapil utk verifikasi scan barcode mana digital uninstall,1,-1
kurang kalo tuju mudah masyarakat fitur aplikasi batas buat mudah perhati aman kurang ubah data mendownload file,2,-1
aplikasi baik install kemarin sih dukcapil akses lihat ktp digital loading tugas jaring jaring stabil salah bug aplikasi erti,3,-1
aktifasi disdukcapil buka dokumen duduk gk bs loading muncul notifikasi salah coba faktor jaring coba kantor rumah pakai wifi handal buka harap tingkat kualitas aplikasi,1,-1
buka aplikasi aja terang nya salah koneksi udah update jaring bagus stabil tolong baik sistem ribet ngurusin dukcapil perihal kode qr udah beres salah koneksi,2,-1
nama digital engga kode barcode ny kirim email yg masuk register efisien asa digital aplikasi udh lumayan bagus mekanisme nya asa digital krna dukcapil scan kode barcode bagus kode barcode kirim otomatis email,2,-1
aplikasi jelek ga tampil ktp barcode lembaga barcode alas aplikasi jember ga cetak ktp alas blangko habis tp ktp indikasi teknologi,1,-1
aplikasi buka pakai wifi tower buka pake data seluler wifi seluler tolong batas pakai data pake wifi hp seri azus m pro mohon bimbing,4,1
aplikasi ga tombol download ktp nya ga e ktp nya butuh urus harus kirim file e ktp aplikasi nya ga dipake download ktpnya mending ktp langsung foto,1,-1
bagus tampil ui nya identik aplikasi perintah moga depan tampil ui nya bagus rekrut it yg mumpuni ui bagus saran download berkas kk akta lahir dll aplikasi guna banget pakai fingerprint face id,5,1
bagus mudah pegawai sabar jelas aplikasi butuh jaring prioritas inisiatif ganti jaring t lkom hasil tingkat ui,2,-1
aplikasi bagus pas daftar ribet scan barcode dukcapil barcode dukcapil nya gimana bantu mudah sulit tidak nya kirim email barcode nya biar discan,1,-1
apk sampah update konyol banget yg lupa pw gak kepake apk nya blokir gabisa akses nya tolong baik gak update nya tahun aja gabisa masuk aplikasi nya butuh pepet aplikasi nya,2,-1
aplikasi bobrok gak bsa akses jaring uda bagus muncul periksa koneksi dah bijak akses nya bobrok,1,-1
tolong tingkat lg ngurus ribet aplikasi tp aplikasi dukung bnget benah lg kalo maju teknologi kalo tolong kasih alternatif biar urus jd efektif dri gin nunggu aplikasi error gak sampek kaoan buang buang efektif tolong kritik dengar baik,1,-1
ayo anggar aplikasi tolong maksimal buka aplikasi aja lot cepat ambil ktp dompet drpda buka aplikasi ribetnya masukin pasword ayo zaman sdh canggih pake fingerprint buka ajar sm aplikasi bank sengaja kasih bintang rendah baca baik,2,-1
aplikasi buka lancar tapiiiii mudah tuan tuan daftar hadap tugas verifikasi disdukcapil dekat lantas guna aplikasi disdukcapil sih aplikasi mudah daftar rumah repot repot disdukcapil terimakasih,4,1
aplikasi milik negara gin gak sesuai anggar negara keluar ga niat transformasi digital daftar nik ktp fisik email mobile jkn mudah bikin ribet sih scan barcode kantor dukcapil kocak banget negara,1,-1
aplikasi bantu scan barcode tugas desa camat lokasi server eror log in pulang online harapanya meminimalisid udah keburu males ngurusnya depa harap baik mudah ubah data warga terima kasih,3,-1
yg bikin aplikasi ikd tolong aplikasi menu keren yg utama signal kuat pake wifi akses kl ga pake wifi ga akses kesan berat bngt signalnya ga mudah sekolah it jngn nyusahin,1,-1
bagi ktp yg qr pas baca pake qr code kode link download mo baca ama saran pilih cetak ktp plus tambah input kalimat watermak sesuai guna butuh dasar,2,-1
aplikasi nya susah buka jaring nya full tolong baik apl mudah masyarakat susah klau login mutar mutar doang muncul tulis salah sya kasih bintang dlu krna apl nya susah buka klau udah bagus sya bintang nya,3,-1
aplikasi gak ga masuk salah koneksi pdahal internet aman browsing youtube aman ga buka aplikasi,1,-1
instal lancar verifikasi disdukcapil fungsi normal akses dgn data dgn wifi ktp yg muncul kk mohon tanggap nggih update bugs terima kasih,3,-1
payaaah sampe rumah aplikasi nya buka tulis nya jaring stabil kuota byk pancar bts deket gimanaa coba ikd hp tolong baik sistem nya terima kasih,2,-1
gimana si suruh download apk ikd gilir didownload salah jaring koneksi tolong sulit masyarakat bikin ktp akte kk bener aja pakai wifi ngga orang wifi tolong baik sistem,1,-1
parah sih jaring wilayah bagus kuota pas buka aplikasi muncul salah koneksi trus kalo pas darurat gunain ktp gimana buat e ktp sulit alas gak blangko nya,1,-1
aplikasi buka salah koneksi paket data wifi jg coba tp pakai tolong baik aplikasi moga manfaat masyarakat indonesia layan wilayah indonesia,1,-1
aplikasi pajang sih perlu butuh identitas e ktp dukung ktp digital konsep bagus fungsi nya rasa,2,-1
jaring masalah registrasi data sinyal stabil alih wifi sma aja hasil nya koneksi masalah tolong d tingkat aplikasi dn nya tpi ttep sya ksih bintang,5,1
aplikasi ga gak loading salah koneksi coba coba kiamat diupdate jg ga ngaruh sdh pake paket data jg gak bs pkai wifi jg ga bs aja,1,-1
ya aplikasi situs perintah lot situs aplikasi perintah baik layan masyarakat anggar perintah daftar hasil aju layan cek hasil aju layan ehhh aplikasi ga buka alas salah koneksi nonton apa lancar pake wifi ga buka apa provider wifinya,1,-1
maaf aplikasinha knpa yh buka salah koneksi jaring bagus aja gak bantu nyusahin aja sih lupa bawa ktp yah pake ktp digital buka aplikasi susah bantu nyusahin,1,-1
masuk loding baca muat warna kuning langsung aja warna hijau baca masuk loding muat mh masuk aplikasi loding muat nunggunya it saran mending langsung warna hijau masuk tinggal langsung klik masukin pin cepat masuk,4,1
aplikasi guna bikin salah koneksi teruuuuuuuuuusssssssss kesal nya kali dounload kali hapus tetep salah koneksi taik taikkkkkkkkk,1,-1
parah lowding mulu hp samsung ktp nya nggak ss download masuk kembang ktp kk surat dukung copy download enak banyak lowding bikin bt aja lurah app nggak buka masuk bintang app udah jalan bagus ganti nilai gin baik,1,-1
aplikasi buka pakai wifi orang rumah sedia wifi gilran layan publik arah online dah capek kalo bikin maju enggak nyediakan tenaga it yg bagus,1,-1
aplikasi jaring lokal trobel daftar ikd gagal mohon perintah benah tangan jaring target wilayah nggak wujud kendala jaring lokal maintenance terimakasih,1,-1
aplikasi jelek sungguh muas sesuai ekspektasi perintah semangat imbau masyarakat aplikasi ehhhh repot guna buka koneksi gagal padal signal tempat bagus guna sih bagus aplikasi sampah faedah,1,-1
ngurus ktp aplikasi bisah pakai minggu tulis layar hp salah koneksi paket internet gb bantu wifi jaring full gak bisah buka,1,-1
konsep digital konvensional daftar udah bagus online eh scan qr dukcapil aja ribet fisik dukcapil scan qr udah face recognition,2,-1
install x gak salah koneksi pakai wifi pakai data seluler aplikasi dukung,1,-1
tolong mudah bentuk foto ktp hp bentuk foto ktp orang digital susah milik ktp digital bentuk ktp fisik cetak dekat jd halang ktp fisik ferifikasi yg fto ktp,1,-1
salah jaring wifi data gk batas kemaren bagus jelek lagh instal ulang hapus cace gk masuk parah idk bikin akun e walet,1,-1
mohon kait baik koneksi kali login pake data muncul salah koneksi kuota tetep aja gak login login kalo pake wifi aja,1,-1
aplikasi responsif salah koneksi tunggu lumayan tolong baca ulas tingkat yg andal ktp fisik aplikasi guna,2,-1
mudah sulit udh ku coba salah koneksi mulu udh pake jaring data udah pakai wifi udh uninstal istal aja hasil tolong baik jgn aneh deh bijak kalo gak kayak gin bolak dukcapil dukcapil nih kerja ijin hari udh potong uang makan,1,-1
adakan aplikasi mudah sulit qr code disdukcapil bohong kalo langsung ya aplikasi emng langsung vervikasi email praktis,1,-1
aplikasi jelek ga buka buka ngomong salah koneksi jaring mah bagus aja kali aplikasi buka koneksi jelek trus aplikasi nya gada kembang udah loh sy kasih bintang krna kecewa sy kasih rating klo sy udh login aplikasi nya,1,-1
buka notifikasi kesalaham koneksi koneksi internet buka aplikasi lancar silah baik luncur aplikasi susah guna terima kasih,1,-1
mahasiswa kurang app daftar kantor pusat nya langsung daftar mana aja bikin ribet makan daftar kalo akses app lot jaring stabil tiga kalo butuh file dokumen dokumen ktp kk bpjs downlod sulit file dokumen ktp kk bpjs,3,-1
fitur download gambar kk akta dll langsung aplikasi bantu cetak rumah fotokopi laku screenshot website siakonline repot,3,-1
tolong min atas dokumen gak buka pas klik dokumen muncul loading gak muncul data data nya tolong kasih cerah tutor biar buka koneksi internet data wifi pdahal bagus,4,1
tuju install aplikasi cek data pribadi daftar dukcapil nyata kecewa proses daftar perintah scan barcode barcode scan milik e ktp digital tahap uji coba lagipula scan barcode data dukcapil masuk nik akses data aplikasi cacat rilis,1,-1
konsep aplikasi bagus fitur regis scan qr code dukcapil klo ganti mode verifikasi tugas dukcapil fitur save offline saat kondisi user milik jaring akses,2,-1
teman buka aplikasi tulis coba koneksi jaring internet bagus pakai paket data wifi buka coba download apk jkn mobile dll buka aplikasi identintas duduk initetap buka coba uninstal login gak sampek esok hari coba gak tolong tetap bijak aplikasi aplikasi optimal,1,-1
kualitas dokumen buram resolusi rendah opsi download cetak gagal tampil menu pilih salah error pilih menu aplikasi restart guna aplikasi terima syarat dokumen ktp fisik fotocopy ktp fisik dsb e ktp yanng difotocopy guna sesuai fungsi perintah,2,-1
mudah solutif bertranformasi digital sedia alternatif tata juknis apa mengakomodir request ktp fisik digital transformasi fisik doang buka apk sulit gajelas gak alternatif alhasil solutif sungguh sulit salut aman solutif masyarakat yg butuh ktp fisik yg baca gimana,1,-1
aplikasi buka coba trus tdak cman muncul salah koneksi unistall sdah kali buka pake data data mohon baik nya sya pakai aplikasi teman yg pakai buka hp sya buka jaring bagus yahh tdak buka hp yah mohon tunjuk baik baik nya terima kasih wassalam,1,-1
teman buka aplikasi muncul pemberitahuan salah koneksi coba jaringam wifi kantor pakai iconnet plus lancar aman dgn cepat mbs hapus instal coba besok sampe pakai hp samsung s edge gb ram micro gb simpan yg kosong gb mohon cerah baik,1,-1
fitur fitur menu tolong jelas terkadang dokumen integrasi kadang muncul kadang muncul fitur fitur yg tte dsb jelas inovasi nya bagus tolong tingkat masyarakat kenal dukcapil,3,-1
mudah repot perlu foto ktp sulit terkadang aplikasi deteksi foto aplikasi fitur screenshoot nonaktif aktifasi dukcapil dukcapil yogya fasilitas dukung ktp digital data sigital mudah urus kota betuk fisik ktp jadi digital ngurusnya kembali,1,-1
gk negara bikin aplikasi bug nyuruh pake ktp digital aplikasi aja minus tekeluar sndiri kali kali loadingnya lamaa jaring bagus masuk aja loading sial,1,-1
tuju pakai ktp digital mudah aplikasi klo scan barcode dukcapil ujung nya ribet lg data udah database dukcapil verifikasi data aja mudah moga aja baik proses mudah,1,-1
kirain cepet pas coba daftar adminnya tetep aja nginput data cek situ qr code yg scan ga yg scan tinggal cek database aja validasi buka ktp kk tp ga download cetak pdhl suruh cetak mandiri gak guna daftar ttd elektronik ga cek data menu yg kosong sinkronisasi tolong benah menu terap,1,-1
sulit masuk aplikasi salah koneksi jaring buka pd jaring kuat by wifi n paket data sdh diun instal n on off hp masuk sulit,1,-1
bug nya refresh singal jelek pakai wifi paket data aman nya ga menu logout masuk menu daftar yg mana clear chase otomatis logout wajib lurah aktivitas ulang makan yg mana tuju wajib simpel ga simpel,1,-1
instal pas photo verifikasi gagal foto simpan aplikasi tahap spesifikasi android versi hp samsung j pro mohon baik aplikasi nya,2,-1
bagus segi layan aman apa pin segi layan mana bawa dokumen duduk fisik akses login akses menu ui nya user friendly butuh paham menu offline bagus kuota paket data,2,-1
dokumen muter kk tdk buka ayo anggar kwalitas bayar potong foto simpan lurah terus,3,-1
tuju aman mudah tolong baik buka ktp digital mati ga buka folder buka data keluarga lebih gabisa fungsi tingkat layan tambah bintang,3,-1
buat alih aplikasi digital mudah sulit daftar sulit lurah scan aktivasi sulit pindai scan kartu keluarga hasil pindai tampil dokumen izin download dokumen moga baik,1,-1
hi tolong benah upgrade kelas aplikasi negara ngelag ribet susah masuk komen tulis coba mudah memperibet zaman kembang teknologi yg dipake kelas perintah kalah game,2,-1
tau fungsi utama aplikasi butuh baik guna baku baku exp istri isteri dll cepat connecting app guna jelas fitur dsb,3,-1
aplikasi tdk d salah koneksi mohon d tingkat gangguanya tdk mmbantu samasekali tdk identitas ataau ktp dgitalnya tdk lihat buka baik parah bikin identitas digital tdk akses parah d akses mndingan jangn bikin aplikasi tdak guna samaskali bikin lot hp aja mndingan hapus,1,-1
aplikasi gak cacat memumadahkan bingung sulit buka isi data verivikasi tahap ambil foto muncul perintah scan barcode nya yg scan coba ktp digital aja aneh aja kalo bikin bijak,1,-1
instal daftar pas verifikasi wajah apl nggak respon ulang kali ambil foto pergi dukcapil aplikasi,2,-1
aplikasi nya ko masuk tulis salah jaring udh jaring wifi parah aplikasi yg mudah tpi sulit,1,-1
aktifasi aplikasi ikd langsung bantu rekan dispendukcapil paket data internet provider kartu sim provider warna kuning nyambung baik donk provider indonesia,1,-1
aplikasi gak guna dr daftar detik pd menu dokumen terang ny dokumen integrasi trs nya coba trs ny donk orng dokumen nya,1,-1
downlot resolusi bagus mw cetak capil jangkau capil eror pas buka menu menu tambah download ato cetak mudah guna gg ganti user,1,-1
aplikasi berat banget buka dokumen muter muncul salah paksa buka dokumen web adminduk gampang repot buka dokumen web utk aplikasi ikd mohon baik mudah,2,-1
salah koneksi pelan migrasi ikd ikd ngk janji akses butuh ikd error susah ektp aja ngk fungsi mesti udh ikd aja,1,-1
daerah jaring bagus lancar masuk ektp nya atur share barkot bolh sprti aplikasi bpjs udh digital kartu simpan kyk pdf cetak sndiri saran sbnrnya tuju bagus timbang kurang,1,-1
fitur log in log out akun butuh ganti gadget ganti gadget hapus akun akun gadget dukcapil ribet dokumen duduk aplikasi akses fungsi utama guna aplikasi mubasir dokumen proses integrasi akses,1,-1
aplikasi susah buka sinyal wifi full layar muncul tulis salah coba aktifasi apl aplikasi buka menu dokumen akses mohon baik aplikasi mudah lancar terima kasih,1,-1
apk gk buka alas koneksi stabil apk ny yg data digital yah kemarin buka udh gk uninstall aja yok apk nya gk guna kalo gk buka,1,-1
bintang deh apresiasi aplikasi sayang buka aplikasi susah loading mulu tolong development program nya baik tks,2,-1
bagus baik update menu dokumen data kk info vaksin x cantum menu layan tte itu akses menu tte akses menu sinkronisasi privy mohon baik biar masyarakat senang,4,1
didownload tp aplikasi tdk buka coba berkalikali tdk terang koneksi data internet kuat tugas yg bilang memori hp bawah ram tdk yg ktp digitial yg hp memori ram atas ya beli hp akses aplikasi sungguh solusi tolong baik warga indonesia yg hp tdk akses ktp digital thx,1,-1
hp infinix smart udh android buka apk nya update gak buka salah koneksi kuota internet lancar lancar aja kalo buka ktp ku aktif sekali,1,-1
aplikasi bagus ktp digital scan barcode aplikasi bpjs kirim kartu digital email butuh fotocopy dll ribet klo ribet scan barcode ga praktis,1,-1
tambah fitur download dokumen soft copy dokumen butuh kumpul berkas bagus resolusi dokumen jernih rekrut tim it andal ui ux aplikasi muas guna tiga project bagus,3,-1
terkadang aplikasi buka tampil loading salah apalikasnya tolong maksimal krn guna butuh biar akses data duduk mohon perhati terima kasih,1,-1
maaf aplikasi ikd akses salah koneksi padah kuota internet buka aplikasi yg aplikasi ikd yg tdk akses tolong baik,5,1
gak masuk krna salah jaring jaring bagus aja klo app nya memng masalah yah baik kek udah ditinggalin gak masuk menu utama,1,-1
masalah koneksi internet lancar aneh banget coba tinjau baik fungsi aplikasi manfaat,1,-1
app mohon sedia microsoft store opsi trouble smartphone access take photo sessi verifikasi wajah system ga respone bydonel,1,-1
aplikasi bangu bantu sayang konek servernya susah banget gak masuk pakai jaring wifi seluler,2,-1
aplikasi nya diinstal klik daftar gak tuju aplikasi gerak coba kali kali mohon baik perhati massal,1,-1
aktivasi lihat data dokumen detik terang dokumen integrasi tolong baik kak,1,-1
buka loading memory ekternal internal kali kali hapus instal hapus chache loading pakai wifi data,3,-1
jaring bagus cepat internet bagus ttep aja ga masuk notifnya jaring perintah ga serius aplikasi mudah susah ribet mending manual aja kaya langsung kantor urus selesai,2,-1
app gak guna kerna layan layan kartu fisik dokumen ikd download sepet kk akte lahir anak app bangun mudah kenyataanya karna harus dukcapil kantor bsa habis jam stengah jalan,1,-1
gak buka sich tolong baik serverny tolong sosialiasi bank kenal biar bsa upgrade ktp digital apk guna urus ktp yg hilang ktp terima,1,-1
aplikasi nya bagus kadang cepat kadang salah kasih bintang nya unduh download print mandiri ktp digital hubung intansi lai kaya bank dll udah sempurna kasih bintang moga baik makasih,2,-1
instal nih bikin sih mudah tp dukcapil lg utk scan barcodenya gak efisien kyk wktu bikin e ktp jg dateng antri jdi beda duduk dewasa indonesia download aplikasi lumayan pasu,3,-1
tolong aplikasi layan terbit cek fungsi uang bikin aplikasi murah layan perintah polisi yg bas aplikasi ga benah baik update mei bener aja apk aja x update baru update beban hp pentinh fungsi jamin korupsi,1,-1
hadeh gua apk mudah ehh gk tau ny perlu bayar pajak mtor d ktp asli fisik trs guna apk digital ap coba contoh ny aj saran gua sih perintah men sinkronisasi guna yg sebenernya,1,-1
harap aplikasi update baharu kualitas gambar ktp kk dokumen resolusi bagus kualitas jernih hd bentuk tanda tangan nya ngeblur hitam putih kualitas jelek gambar halaman bentuk aplikasi logo cantik segi manfaat tolong tambah pakai ktp digital verifikasi data pribadi urus layan online offline uji coba wajib,3,-1
halo bagus fiturnya dar saran tolong opsi unduh file jpg pdf ktp kk bareng aman etat unduh ktp kk krn butuh,4,1
appnya bagus ribet pindah hp akun hp akun sungguh praktis alas aman app bpjs login hp login hp kecuali logout tolong upgrade aplikasi praktis fleksibel,1,-1
aplikasi hubung dukcapil data ktp yg lantas yg milik ktp aplikasi dukcapil scan qr kode fungsi utama aplikasi ringkas birokrasi tambah keribetan guna aplikasi yg dukcapil dar qr kode ribet birokrasi mbok yo mikir,1,-1
susah masuk aplikasi bug nya sempurna perintah kalo buka area dukcapil pkek wifi lancar wkkwkwkw udh biasa nikmat fasilitas negeri ya gin banyak hemat budget,1,-1
tahap kembang terima buka dokumen gak paket data wifi sinyal bagus loading coba solusi,3,-1
aja boong dukcapil akses aplikasi butuh qr kode dukcapil perifikasi udah rekam ktp elektronik sidik jari gak sidik jari hp dukung sidik jari mendapa hak dasar aja repot olah wajib masyarakat,1,-1
aplikasi udah bagus mudah fitur nya unduh download dokumen kk ktp nya aja si yg harap depan diadain fitur unduh mobile jkn unduh bpjs anggota keluarga dukcapil kabupaten urus offline apk udah lengkap fiturnya,3,-1
sulit login wi fi yg bagus ktp fisik ubah data gantung dgn ktp digital kalo blm sepenuh gantung ktp digital tolong baik sdm teknologi,2,-1
mudah sulit susah log in nyaa jaring sinyal bagus sinyal aplikasi nya sih tolong perbaikiiii,1,-1
buka paket data kuat masuk berat pakai wifi buka apk nya tolong ringan mudah akses dr paket data,2,-1
sebenernya komplain keti tp males ngetiknya ngetik ga feedbacknya ga baik inti aplikasi ribet,1,-1
kasih bintang mending hapus tentu scan qr code disdukcapil efisien orang sibuk mending qr code diiintegrasikan kirim email guna hemat efisien thanks,1,-1
mudah ni apk ribet instal login ngak buka loading gimana dicolokin sinyal tower pakai apk terbit yg baik,3,-1
aplikasi digital mudah haha ga mudah mudah nya kalo pergi dukcapil pindai kode qr verifikasi validasi alangkah baik alternatif pergi dukcapil mudah proses nya,1,-1
log in app nya buruk mudah mempersulitt butuh app nya ngg buka tolong baik tolong baik aplikasi bug ngga buka,1,-1
ktp digital buka rekening butuh ktp fisik urus surat pake ktp fisik urus janji kontrak kerja pake ktp fisik urus fisik blanko habis alesannya aplikasi ekosistem ui jg kn framework flutter react native ui nya,1,-1
mudah apk urus hubung dukcapil era digital hasil surat pindah didownload parah pindah pulau apk buka alas koneksi koneksi lancar sulit,2,-1
aplikasi ubah aplikasi perintah ui ux nya buruk keman dukcapil habis anggar giring data warga masyarakat aplikasi selesai ktp elektronik muncul yg transparansi aman data integrasi data urus perintah parah,1,-1
apl rusak apl tu yg niat apl nya ngestuck tampil doang trus jaring gk stabil udah pke jaring wifi yg kenceng hdhhh apas,1,-1
ngapain bikin digital suruh konfirmasi daftar aplikasi digital mudah it nya ga sanggup bikin y cari it bagus sanggup bikin duit negara,1,-1
inovasi bagus aplikasi bagus segi integrasi layan online saat aktivitas aju apa lurah hubung status duduk integrasi aplikasi lihat proses jalan jd apalikasi jd wadah data kk ktp perlu aplikasi maksimal,1,-1
instal aplikasi ok daftar susah masuk baik aplikasi mudah daftar masuk aplikasi gitu ok daftar aja susah masuk aplikasi maju teknologi batas bikin nyesel instal aplikasi,2,-1
bentuk layan digital kelola negara wakanda serba tinggal segi tampil web aplikasi jaman blogger tampil sistem fungsi mesti digitalisasi gimik baik ikut kembang jaman dg asal,1,-1
mohon maaf ngebug sistem aplikasi langsung cepat atas masuk playstore nilai tanda aplikasi riskan databasenya apasih kayak gin ga guna asli kembang scaning langsung tempat ga repot buka buka,1,-1
buruk kalo aplikasi nya suka error nggak guna sy tunggu dukcapil jam apk ngak mudah masyarakat kenyataanya sulit cetak ktp kalo apk error,1,-1
bikin aplikasi fungsi daftar doang ga akses udah kali kali coba bulan gagal alas jaring aplikasi ngumpulin data duduk doang ga fungsi gitu kembang responsif ga dar abai aja,1,-1
tolong servernya gedein masuk susah banget negara server sulit tuju aplikasi tunjang kerja cepat efisien lambat ngecek ktp digital aj susah sulit,1,-1
kali buka muncul salah koneksi jaring bagus pake wifi aplikasi fungsi,1,-1
maaf ya kali masuk dokumen ektp muncul gambar tolong baik aplikasi akses bintang terima kasih,2,-1
gak login alas jaring stabil jaring g stabil buka aplikasi lancar loh udah blanko ktp nya gak aplikasi error kalo susah mudah mending gak pake acara install aplikasi kek gin min,1,-1
registrasi penasaran ken aktivasi lihat tampilanya aja yg klo kendala kait identitas susah proses menu dokumen jg liat ktp kepala keluarga,1,-1
cetak ektp fisik sulit batas blangko pake identitas ktp digital lihat dokumen ktp nya gak akses pesan error salah coba udah coba aja sampe kiamat perintah kalo bikin aplikasi gak bagus rakyat korban hadeeehhh,1,-1
aplikasi cacat down server data gak bsa baca login sulit jaring g lte masuk biaya gede server nya aja busuk gak benah apa update apa gak aplikasi cacat so soan maju mundur,1,-1
tolong baik system aplikasi nya biar gak loading buka aplikasi kali coba masuk login kaga loading ledak hp,1,-1
data yg masuk kk aplikasi ss kurang habis paket internet sy beli paket data gb instal konfirmasi data aplikasi ikg ga jam langsung habis gb tolong baru ya min kaum dang mending ga ngelus dada kaget habis paket internet,3,-1
banyak aplikasi perintah butut aneh rencana gak mateng hasil aplikasi kek gin payah sok transformasi digital parah ngeri bocor data duduk aduh,2,-1
cepat registrasi nya tap udah akses masuk gak masuk muat muat saran aja digital nanggung dah ktp kk sim kartu pajak liat padan ktp pajak udah digital hadeh,3,-1
konsep gimana sih digital mudah daftar aja susah scan barcode dukcapil fungsi digital,1,-1
aplikasi tolong diupdate kali kali login tambah opsi login login pakai email nik masuk pin kali ja,1,-1
