content,score,year,month,day,tone
ui nya sederhana sat registrasi perlu ditingkatkan kemudahan foto ulang karena jika foto ulang maka kembali isi biodata awal caplikasilikasiek kuy isi dalam aplikasilikasi seakanakan copas dari pdf versi cetak yang sudah ada dan masih tidak bisa urus tanda tangan digital ke peruri langsung dari aplikasilikasilikasi ini semoga aplikasilikasi ini bermanfat dan kedepanya banyak perbaikan,3,2024,2,7,-1
aplikasi nya sangat sangat tidak membantu sat ingin membukanya malah tidak bisa untuk apa dukcapil mewajibkan menginstal aplikasi ini kalo hanya sekedar jadi pajangan di hape tolonglah di perbaiki lagi aplikasinya sat ingin melihat data log in mudah,1,2024,2,20,-1
sudah login berkalikali tetaplikasi saja yang muncul jaringan tidak stabil padahal jaringan yang kita gunakan stabilaplikasik aplikasi in sat di butuhkan engak mau kebuka harus mengunakan jaringan wifi tolong untuk di sesuaikan lagimana kita jauh2 dari dukcaplikasiil,1,2024,1,31,-1
mau cari data k aja kok susah ya lewat aps ini padahal udah reinstal berkalikali tapi tetep gak pernah muncul data dokumenya cuma loading terus tolong dong sistemnya diperbaiki kan sama aja gak kepake apsnya kalau layananya jelek gini,1,2024,1,8,-1
sebenarnya untuk mempermudah apalagi kalau kita telah memiliki ektpkan semua data kita telah terekam didukcapiljadi ga perlu repot lagi datang buat verifikasi via barcode kalau mau digital masih nangung mending fisik saja diterbitkan lagiberasa seperti pembodohan saja,2,2023,12,10,-1
tidak efisien tidak efektif dan tidak flexibel coba kalau masuk cuma masukan emailnik sama pasword kayaknya jauh lebih efisien karena kalo ganti hp ga ribet hrs ke capil lagi kalo skrg ganti perangkat/ lupa pin udh ga bisa masuk,1,2024,1,11,-1
apa ini ga bahaya rentan dibobol kalau hp hilang data disalah gunakan belum lagi ribet harus ke dukcapil / kecamatan untuk scan barcode tidak efisien harusnya dibuatkan sistem yang langsung bisa akses ktp tanpa perlu lagi buat ulang,1,2024,1,11,-1
aplikasi sangat tidak berguna foto tidak sinkron fitur bagikan ktp k tidak jelas karena pakai qr code bukan file pdf tidak bisa screnshot pin masih mengunakan angka sehinga tidak aman tampilan ui masih sederhana,1,2024,2,11,-1
dari awal download sampai sekarang uninstal hapus lagi download lagi gak bisa dibuka cuma loading terus selalu aplikasi buatan pemerintah tuh jelek banget dananya gak mungkin kurang kan apa gak bisa hire sdm or beli aplikasi yang bagus gitu bisa bayangin yang tingal di desa gak sih terus bapak2 yang gaptek yang bahkan hapenya mungkin yang biasa gak pernah ngotak atik or nyoba aplikasi lain selain wa hm,1,2023,12,30,-1
digital tapi masih harus datang ke dukcapil untuk verifikasi barcode ke petugas konsep memudahkan ga ribetnya dimana kalo begini masih mending sekalian cetak fisik ga sih digital itu kan harusnya memudahkan dan meningkatkan efisiensi dari segi akses dan waktu setiap masyarakat,1,2024,1,4,-1
tolong ini diperhatikan aplikasi ini yang katanya bisa mempermudah masyarakat tapi nyatanya aplikasi ini tidak bisa dipakai terlebih ini aplikasi tidak bisa dibuka dengan mengunakan jaringan data dan banyak yang bilang perlu wifi jika mau mengunakanya kalo seperti itu ya percuma dong kami repot2 mendaftar ke kantor kalo ujung2nya gabisa dipake paling tidak tambahkan fitur ofline buat yang sudah daftar dan kebutuhan mendadak jadi tingal di scan saja tidak perlu jaringan data,1,2024,2,12,-1
ngaco pakterjadi kesalahan koneksi kecepatan internet 120mbpstes pake wifi 20mbps sebetulnya banyak aplikasi pemerintah yang mempermudahjika bisa digunakan secara optimaltp pasti ada kendala server yang kurang dan banyak bugseharusnya pemerintah fokus terhadap system digital dari segi keamanan jugaselain mempermudah pengelolan data warga ini menghemat ruang dan waktu atau ada beberapa yang keberatan yak dengan alasan tertentu,3,2024,2,24,-1
pertama baru buka udah eror jaringan padahal pake jaringan yang mumpuni kedua gua gak yakin sama sama sistem keamanan aplikasi nya ketiga mau daftar aja harus ke dukcapil lagiverifikasi ktp kan bisa min hadeh kempat dari ui nya hadeh tolong di upgrade lah dah itu aja dulu nungu aplikasinya bisa di buka dulu baru tambahin komen nya,1,2023,12,31,-1
konsep aplikasi ini sudah bagus masih ada banyak hal yang perlu ditingkatkan mulai dari kemudahan akses konektivitas terhubung ke server dan juga kemampuan untuk menyimpan data agar bisa diakses secara ofline karena saya melihat banyak sekali keluhan tentang masalah jaringan dan kendala mengakses aplikasi disat sedang tidak ada kuota internet setelah itu baru ditingkatkan lagi ui nya,4,2024,2,1,1
kenapa harus scan barcode dari dukcapil inikan aplikasi harusnya memudahkan warganya yang diluar kota agar bisa melihat ktp digital lalu kalau sedang diluar kota bagaimana caranya bukanya memudahkan tapi sama saja menyulitkan tolong perbaiki lagi agar tanpa harus ke dukcapil terimakasih,1,2024,2,9,-1
ui nya mungkin perlu di perbaiki y admin biar desainya juga enak untuk dilihat terimakasih semangat para pembuat koding ui ux perlu dan penting juga jgn lupa keamanan data ya server nya juga harus aman dan bisa lebih cepat untuk di akses semnagat,1,2024,1,14,-1
sekarang gak bisa masuk karena kesalahan jaringan ada yang nulis mesti pake wifi non data selular masak mesti beli wifi atau wifi publik yang justru tidak aman dan datanya cuma scan dari fisik doank tidak ada yang baru gak jelas aplikasinya banyak aplikasi buatan pemerintah rating rendah karena cuma proyek aja manfatnya sedikit,1,2024,1,20,-1
aplikasi tidak bisa dibuka sejak instal loading melulu dan terakhir ada info notifikasi terjadi kesalahan dicoba berulang kali tetap sama hasilnya aplikasi tidak ada guna apalagi infonya harus kedukcapil utk verifikasi scan barcode lagi dimana digitalnya akhirnya aku uninstal,1,2024,1,14,-1
banyak kekurangan masih harusnya kalo memang tujuanya mempermudah masyarakat jangan semua fitur di aplikasinya dibatasibuatlah semudah mungkin namun tetap memperhatikan keamanan kekuranganya tidak bisa mengubah data tidak bisa mendownload fileitu saja,2,2023,12,12,-1
aplikasi ampas mau daftar gak bisa bisa coba lagi terjadi kesalahan koneksi padahal sinyal bagus banget buat yang lain mau ganti ktp lewat situs malah di alihkan ke aplikasi kaya gini dulu gampang banget sebelum ada aplikasi ikd sekarang jadi ribet dimana letak memudahkanya masyrakatnya,1,2024,2,16,-1
saya rasa nilai segini untuk sat ini cukup agak aneh login dengan data bisa tetapi login mengunakan wifi rumah sama sekali gabisa masuk saya harap kedepanya bisa dilakukan update lagi untuk ikd walaupun simpel sulit dipercaya aplikasi keluaran dari pemerintah saja gabisa dipakai login make wifi,3,2024,3,20,-1
ribet harus scan barcode dari dukcapil inikan aplikasi harusnya memudahkan warganya yang diluar kota agar bisa melihat ktp digital bukanya memudahkan tapi sama saja menyulitkan tolong perbaiki lagi agar tanpa harus ke dukcapil,1,2024,4,3,-1
aplikasi sangat sangat tidak berguna dan tidak berfungsi dengan normal udah semingu lalu download tapi tetap saja ga bisa masuk dengan alasan koneksi gagal padahal dah pake wifi sinyal lancar paket data ful mengecewakan sekali,1,2024,5,2,-1
delete aja menu pelayanan ga dilayanin juga stuck di proses pertama tiap buka menu harus masukin pincaptcha mana lemot sering ga kehubung ke server pusat kalo aps buat nampilin ktp doang mah andelin galeri aja juga bisa,1,2024,5,14,-1
aplikasi masih perlu banyak perbaikan saya baru instal kemarin sih kebetulan lagi di dukcapil cuma mau akses untuk lihat ktp digitalnya itu masih loading sampai hari ini kalau kata petugasnya karena jaringan padahal jaringan sangat stabil entah apa yang salah apakah bug aplikasi atau apa saya kurang mengerti,3,2023,11,30,-1
perbaiki dong tujuan mempermudah malah kaya g berguna sama sekali sat di butuhkan malah g bisa di akses kesalahan jaringan terus review lainya juga rata2 begitu berarti kan memang aps nya yang g beres payah,1,2024,5,13,-1
maaf ini kok apknya enga bisa masuk ya baru masuk ada tulisan memuat terus katanya masalah koneksi padahal koneksi jaringan saya baik saja udah saya coba berulangkali tapi tetap enga bisa masuk apa apknya yang memang lagi eror atau ada perbaikan,1,2024,5,14,-1
sangat sulit untuk masuk di aplikasi selalu katanya terjadi kesalahan koneksi padahal jaringan bagus wifi juga bagus tolonglah min du perbaiki lagi aplikasinya,1,2024,5,13,-1
sebenarnya cukup bagus dan cukup mudah digunakan para pegawai juga sabar memberikan penjelasan tentang aplikasi ini namun membutuhkan jaringan prioritas saya awalnya mengunakan 3 namun karena lama saya inisiatif menganti dengan jaringan t*lkom baru berhasil selain itu peningkatan ui juga sangat diperlukan,2,2024,5,8,-1
aplikasi sampah tiap bulan update terus konyol banget buat yang sering lupa pw karena gak kepake aplikasi nya jadi ke blokir gabisa akses semua nya tolong di perbaiki lagi dong bisa gak update nya setahun sekali aja saya gabisa masuk aplikasi nya lagi butuh jadi kepepet terus 0 buat aplikasi nya,2,2024,5,3,-1
aplikasi ga jelas masa harus scan barcode kepada petugas kecamatanini mah sama saja bkn mempermudah tapi mempersulit ga bisa simple apalagi untuk pendaftaran baru daftar online bkn cepat malah lambat percuma saja online kalau permohonan data lambat dan lama untuk merubah k saja sampai sekarang saja belum terlealisasi pengajuan dari tgl 8 sampai sekarang tidak jelas apakah memang tidak ada sdm yang memadai,1,2024,5,16,-1
aplikasi bobrok gak bsa di akses jaringan uda bagus malah muncul periksa koneksi dahlah membuat kebijakan tapi akses nya bobrok,1,2024,5,2,-1
aplikasi bisa dibuka dengan lancar tapi tidak semudah itu tuan tuan anda harus tetap daftar di hadapan petugas verifikasi disdukcapil terdekat lantas apa gunanya aplikasi ini dibuat kalau harus datang juga ke disdukcapil harusnya sih dengan adanya aplikasi ini jadi mudah bisa daftar dari rumah tanpa harus repot repot ke disdukcapil terimakasih,4,2024,5,1,1
aplikasi sampah mau urus perubahan data ktp ke kantor lurah disuru donload aplikasi ini tapi aplikasinya kayak sampah ga bsa masuk masalah koneksi terus padahal koneksi bagus,1,2024,5,13,-1
sejak aktifasi di disdukcapil buka dokumen kependudukan gak bs loading terus sampai akhirnya muncul notifikasi terjadi kesalahan coba lagi katanya waktu itu karena faktor jaringan tapi dicoba di kantor dan di rumah yang pakai wifi handal tetap tidak bisa buka harap ditingakatkan lagi kualitas aplikasinya,1,2024,1,5,-1
daftarnya di permudah lewat aplikasi sih tapi kenapa harus tetap ke disdukcapil atau kecamatan untuk scan qr kalau orangnya sedang merantau kan jelas gak bisa datang apalagi data yang mau di cetak sangat butuh karena hal ini jadi terhambat juga karena persaratan ikd online tapi harus tetap ke lokasi harusnya qr di sediakan di aplikasi,1,2024,5,13,-1
menurut saya yang namanya digital itu paling enga kode barcode ny di kirim melalui email yang di masukan sat register jadi lebih efisien dan berasa digitalnya aplikasinya udh lumayan bagus cuma mekanisme nya masih belum berasa digital krna harus ke dukcapil cuma buat scan kode barcodelebih bagus kode barcode di kirim otomatis melalui email,2,2024,1,13,-1
awal instal lancar dan baik saja sudah verifikasi ke disdukcapil dan berfungsi normal tapi awal tahun 2024 ini entah kenapa tiba tidak bisa akses dgn data hanya bisa dgn wifi dan itu hanya ktp yang muncul; untuk k tidak ada lagi mohon dapat ditangapi ngih mungkin perlu update jika ada bugs atau apa terima kasih,3,2024,3,17,-1
saya sangat kecewa aplikasi yang buruk selesai di daftarkan malah tidak bisa di bukatiap kali di buka kesalahan koneksi tolong lah yang benar2 saja kalau koneksi belum bisa diandalkan jgn dulu disarankan dan di wajibkan ke masayaarakat,1,2024,2,26,-1
ini gimana si disuruh download aplikasi ikd giliran sudah didownload malah kesalahan jaringan koneksi tolong dong jangan mempersulit masyarakat yang mau bikin ktp akte atau k yang bener aja harus pakai wifi nga semua orang punya wifi tolong diperbaiki lagi sistemnya,1,2024,2,29,-1
aplikasi pajangan saja sih untuk keperluan yang membutuhkan identitas diri ternyata masih banyak yang mengunakan ektp dan belum mendukung mengunakan ktp digital ini konsep sudah bagus hanya saja fungsi nya yang belum bisa dirasakan,2,2024,2,27,-1
maaf ini aplikasinha knpa yh tiap mau di buka selalu kesalahan koneksi padahal jaringan bagus aja gak membantu sama sekali tambah nyusahin aja seharusnya sih kalau ke sesuatu tempat lupa bawa ktp yah katanya bisa pake ktp digital ini tapi ternyata mau di buka aplikasinya malah susah bukanya membantu malah nyusahin,1,2024,4,7,-1
kalau mau masuk jangan loding bacan memuat dulu warna kuning langsung aja warna hijau bacan masuk kalau loding memuat dulu mh kelaman masuk aplikasinya loding memuatnya saja nungunya lama it saran saya mending langsung saja warna hijau masuk tingal langsung klik saja terus masukin pin kan cepat masuknya,4,2024,3,12,1
aplikasi tidak bergunapercuma di bikin kalau tidak bisa di gunakankesalahan koneksi terus yang keluar kesal jadi nya berapa kali dounload berapa kali di hapus tetep yang keluar kesalahan koneksi taik taik,1,2024,3,21,-1
parah lowding mulu di hp samsungmana ktp nya ngak bisa di smasukan buat pengembang agar ktp dan k atau surat pendukung bisa di copy kalau perlu aplikasilikasia aplikasilikasia enakdan jangan kebanyakan lowding bikin bt aja kalau lagi di kelurahan aplikasilikasi ngak bisa di bukamasukan bintang kalau aplikasilikasi udah berjalan bagus aku ganti nilainya sat ini segini dulu buat perbaikan,1,2024,2,28,-1
aplikasinya sangat kurang baik untuk jaringan lokal karena selalu trobel dan pendaftaran ikd selalu gagal mohon kepada pemerintah supaya bisa melakukan pembenahan dalam menangani kasus pada jaringanya untuk target 30% di setiap wilayah ngak bisa terwujud karena terkendala jaringan lokal selalu maintenance terimakasih,1,2024,3,5,-1
aplikasi awalnya bagus tapi pas mau daftar begitu ribet harus scan barcode dari dukcapilnah untuk cara dapat barcode dukcapil nya gimanabukanya membantu mempermudah malah dipersulitsetidak nya dikirim email barcode nya biar bisa discan,1,2024,4,18,-1
konsepnya digital tapi caranya masih konvensional mau daftar udah bagus online eh masih harus scan qr datang ke dukcapil sama aja ribet kenapa harus datang fisik lagi ke dukcapil hanya untuk scan qr kan katanya udah ada face recognition,2,2024,3,26,-1
tolong dipermudah untuk melihat bentuk foto ktp sendiri tidak harus mengunakan 2 hp untuk melihat bentuk foto ktp karena setiap orang belum mengunakan digital sangat menyusahkan pemilik ktp digital untuk dibuat bentuk ktp fisik di percetakan terdekat jd semua terhalang kalau tidak mengunakan ktp fisik tidak bisa untuk ferifikasi yang mengunakan fto ktp,1,2024,4,3,-1
tolong lebih ditingkatkan lg ini mau ngurus ribet aplikasi tp aplikasinya kurang mendukung bnget berbenah lg lah kalo mau mengunakan kemajuan teknologi kalo misal belum siap tolong kasih alternatif biar pengurusanya jd lebih efektif dri pada gini nungu aplikasi eror gak jelas sampek kaoan buang buang waktu dan tidak efektif sama sekali tolong kritikanya di dengar dan diperbaiki,1,2024,4,26,-1
mohon untuk pihak terkait perbaiki lagi koneksinya dongsetiap kali login pake data selalu muncul terjadi kesalahan koneksi padahal kuota ada tapi tetep aja gak bisa loginbisa login kalo pake wifi aja,1,2024,3,27,-1
ayolah angaran aplikasi ini pasti besar tolong maksimalkan buka aplikasi aja lemot lebih cepat ambil ktp di dompet drpda buka aplikasi belum lagi ribetnya masukin pasword ayolah zaman sdh cangih harusnya bisa pake fingerprint bukanya belajar sm aplikasi bank sengaja kasih bintang rendah supaya dibaca dan diperbaiki,2,2024,4,14,-1
buat yang bikin aplikasi ikd tolong aplikasi di bagian menu di buat kerendan yang jadi masalah utama adalah signal harus kuat atau pake wifi baru bisa di akseskl ga pake wifi ga bisa di akses kesanya berat bngt signalnyaga bisa memepermudah sekolah it lagijngn nyusahin,1,2024,5,6,-1
masuk susah mau print k juga ngak bisa udah aku uninstal terus instal ulang eh masih tetap ngak bisa masuk katanya koneksi tidak stabil wah ini udah jam 12 tengah malam loh jaringan bagus sekali dari pagi sampai tengah malam saya coba terus ngak ada hasilnya tetap aja ngak bisa kebuka,1,2024,2,13,-1
tolong dong min cara atasi dokumen gak bisa di buka pas klik dokumen munculnya cuma loading terus gak muncul datadata nya tolong kasih pencerahan biar bisa kebuka koneksi internetdata pdahal sudah bagus,4,2023,10,24,1
aplikasi hanya bisa dibuka pakai wifi towertidak bisa dibuka pake data seluler ataupun wifi selulertolong tidak usah dibatasi untuk pemakaian data dan tidak harus pake wifi hp saya seri azus m1pro mohon bimbinganya,4,2023,12,21,1
tujuan instal aplikasi ini adalah cek data pribadi yang terdaftar di dukcapil namun pada kenyatanya mengecewakan karena pada proses pendaftaran ada perintah untuk scan barcode yang jadi pertanyan barcode apa yang mau di scan sedangkan masih belum semua memiliki e ktp digital yang masih tahap uji coba lagipula sebenarnya tidak perlu scan barcode kan data semua sudah ada di dukcapil seharusnya cukup memasukan nik sudah bisa mengakses data kita aplikasi masih cacat tapi sudah dirilis,1,2022,9,7,-1
sejauh ini konsep aplikasi bagus cuma untuk fitur regis kenapa harus ada scan qr code yang harus di dukcapil kalau bisa diganti ke mode verifikasi yang dilakukan oleh petugas dukcapil selain itu fitur save ofline juga perlu jadi disat kondisi user tidak memiliki jaringan dapat tetap akses,2,2023,2,15,-1
ada banyak teman saya tak bisa buka aplikasinya cuma ada tulisan 'coba lagi' padahal koneksi jaringan internet sangat bagus pakai paket data maupun wifi sama saja tetap tidak mau kebuka coba buat download aplikasi lain seperti jkn mobile dl bisa dibuka tapi aplikasi identintas kependudukan initetap tidak bisa kebuka coba uninstal dan login lagi tetap gak bisa sampek esok harinya dicoba tetap gak bisa tolong kalau menetaplikasian kebijakan lewat aplikasi aplikasinya dioptimalkan,1,2023,2,7,-1
kualitas dokumen buram resolusi rendah tidak ada opsi download sering gagal menampilkan menu yang dipilih sering terjadi kesalahan eror sat memilih menu lalu aplikasi restart sendiri kegunan dari aplikasi yang belum bisa diterima oleh semua pihak yang mensyaratkan dokumen misal masih meminta menunjukan ktp fisik fotocopy ktp fisik dsb hal ini mirip ektp yang masih difotocopy karena tidak ditegaskan pengunan sesuai fungsinya oleh pemerintah,2,2023,7,31,-1
sangat tidak mempermudah sangat tidak solutif kalau ingin bertranformasi ke digital harus disediakan juga alternatif atau tata cara atau juknis atau apalah untuk tetap mengakomodir request ktp fisik digital ini transformasi fisik doang buka aplikasi sulit gajelas pula gak ada alternatif alhasil sangat tidak solutif sunguh sangat menyulitkan saya salut akan keamananya namun harus solutif lah untuk setiap masyarakat yang masih membutuhkan ktp fisik yang baru jelas dan terbaca harus gimana,1,2023,10,2,-1
aplikasi tidak bisa bukadi coba trus tdak bisacman muncul terjadi kesalahan koneksidi unistalsdah beberapa kalitetap tidak bisa bukapadahal pake data datanya masih adamohon perbaikan nyasupaya sya bisa memakai ini aplikasi teman saya yang lain bisa pakai dan bisa buka di hpkenapa sya punya tidak bisa bukapadahal jaringan saya bagus dan baik kenapa yah tdak bisa buka di hp saya yah mohon petunjuk untuk memperbaikinya agar bisa memperbaiki nyaterima kasih sebelumnya wasalam,1,2023,2,28,-1
banyak teman2 saya ketika buka aplikasinya muncul pemberitahuan terjadi kesalahan koneksi coba lagi padahal jaringam wifi kantor kami memakai iconet plus lancar dan aman dgn kecepatan 80 mbs akhirnya hapus lagi instal lagi tetap juga saya coba besoknya lagi tetap sama sampe 7 hari tetap sama dan saya memakai hp samsung s6 edge 128gb ram micro 3gb penyimpanan yang kosong ada 50gb lagi mohon pencerahanya dan perbaikanya,1,2023,2,15,-1
fitur fitur menunya tolong di perjelas terkadang dokumen integrasi kadang muncul kadang tidak muncul terus fitur fitur yang lainya seperti te dsb di perjelas lagi inovasi nya sudah bagus tetapi tolong di tingkat kan kembali supaya masyarakat mengenal dukcapil,3,2023,3,17,-1
bukanya memudahkan malah merepotkan kenapa 1 setiap keperluan yang memerlukan foto ktp sulit dilakukan bahkan terkadang aplikasi tersebut tidak mendeteksi foto sedangkan dalam aplikasi ini fitur screnshot dinonaktifkan 2 setiap mau aktifasi harus ke dukcapil kasus dukcapil yogya 3 tidak semua fasilitas mendukung ktp digital data sigital memudahkan kita apabila ada urusan di luar kota namun jangan pula betuk fisik ktp dijadikan digital lama ngurusnya kembalikan saja seperti semula,1,2022,10,22,-1
gak jelas sebuah negara bikin aplikasi banyak bug nyuruh pake ktp digital sedangakan aplikasinya aja banyak minusnya 1sering tekeluar sndiri berkali kali 2loadingnya lama walaupun jaringan bagus 3masuk aja loading lama sialan,1,2023,1,4,-1
tujuan pemakaian ktp digital tentunya untuk memudahkan buat apa ada aplikasi kalau harus scan barcode ke dukcapil ujung2nya ribet lg bukankah data kita udah ada di database dukcapil cukup verifikasi data aja itu akan lebih mudah moga aja ke depan ada perbaikan dan prosesnya jadi lebih mudah,1,2022,10,11,-1
kirain bakal cepet ternyata pas coba daftar adminya tetep aja nginput data kita buat dicek baru di situ keluar qr code dan mereka yang scan kenapa ga kita yang scan sendiri terus mereka tingal cek database aja buat validasi buat buka ktp sama k bisa tp ga bisa download pdhl katanya suruh cetak mandiri gak berguna daftar td elektronik ga bisa cek data dan menu lain masih banyak yang kosong disinkronisasi tolong dibenahi dulu semua menunya baru diterapkan,1,2022,8,27,-1
sulit masuk aplikasikesalahan koneksi jaringan terus jika dibukapd hal jaringan kuat by wifi n paket data tidak ada masalahsdh diun instal n on hp juga tetap tidak bisa masukmengapa dibuat sulit,1,2023,3,9,-1
masih banyak bug nya 1 sering refresh singal jelek padahal pakai wifi dan paket data2 keamanan nya masih di pertanyakan karena ga ada menu logout dan masuk hanya ada menu daftar yang dimana jika kita clear chase otomatis akan logout dan kita wajib ke kelurahan untuk aktivitas ulang itu memakan waktu kita yang dimana tujuan di buat ini wajib simpel tapi tetap ga simpel,1,2023,9,22,-1
sudah di instal tapi pas melakukan photo untuk verifikasi gagal terus foto tidak bisa tersimpan diaplikasi sehinga tidak dapat lanjut ke tahap berikut spesifikasi android versi 810 hp samsung j pro mohon di perbaiki aplikasi nya,2,2022,8,8,-1
sekarang dokumen muter2 terus dan k tidak bisa terbuka ayo angaran besar tetapi kwalitas kurang apa pembayaran kurang/ dipotong setelah foto seharusnya bisa disimpan dahulu jika sudah sampai kelurahan bisa diteruskan,3,2023,10,21,-1
kalau memang tujuanya untuk keamanan dan mempermudah tolong diperbaiki lagi ini mau buka ktp digitalnya setengah mati ga bisa kebuka dari semua folder yang ada hanya bisa kebuka data keluarga selebihnya belum jelas gabisa berfungsi tingkatkan pelayananya nanti ditambah bintangnya,3,2023,10,4,-1
baru saja aktifasi aplikasi ikd langsung dibantu rekan dari dispendukcapil kenapa harus mengunakan paketan data internet dari provider tertentu saya mengunakan kartu sim provider warna kuning kok tidak bisa nyambung perbaiki donk seharusnya bisa digunakan dengan semua provider yang ada di indonesia,1,2024,3,7,-1
aplikasi tidak bisa di buka jaringan bagus pakai wifi pun sama tidak bisa di buka tolong segera di perbaiki kalau tetap seperti ini terus bukan malah memudahkan tapi malah menyusahkan masyarakat kalau mau mengunakan ktp,1,2024,5,15,-1
tidak semua daerah mempunyai jaringan yang bagus dan lancar sebagai masukan ektp nya aturanya bisa di share tanpa barkot kalau bolh sprti aplikasi bpjs dia udh digitalkemudian kartunya bisa di simpan kyk pdf dan kita bisa mencetak sndiri saran pak sbnrnya tujuanya bagus tapi perlu dipertimbangkan lagi kekuranganya,1,2023,1,19,-1
aplikasi ga jelas tombol buat download ktp nya ga ada padahal e ktp nya sangat dibutuhkan untuk berbagai urusan yang mengharuskan untuk mengirim file e ktp tapi aplikasi nya malah ga bisa dipake buat download ktpnya masih mending ktp biasa bisa langsung difoto,1,2024,1,13,-1
aplikasi milik negara tapi kok gini amat gak sesuai sama angaran yang negara keluarkan jelas sekali ini ga niat untuk bertransformasi ke digital seharusnya cukup mendaftar mengunakan nik ktp fisik dan email seperti mobile jkn kalau ada yang mudah kenapa dibikin ribet sih harus scan barcode yang cuma ada di kantor dukcapil kocak banget ini negara,1,2024,4,24,-1
menurut saya aplikasi ini sudah cukup membantu hanya saja harus scan barcode ke petugas desa atau camat terlebih dahulu sampai dilokasi ternyata server selalu eror sehinga tidak bisa log in akhirnya saya pulang lagi padahal dengan adanya online harapanya bisa meminimalisid waktu tapi malah jadi lama dan akhirnya sampai sekarang belum buat karena udah keburu males ngurusnya kedepanya saya harap bisa diperbaiki agar lebih mempermudah dalam melakukan perubahan data warga terima kasih,3,2024,4,24,-1
